189.195.80.66 - - [01/Apr/2017:07:23:36 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:23:47 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.195.80.66 - - [01/Apr/2017:07:23:58 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.195.80.66 - - [01/Apr/2017:07:23:58 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6432
189.195.80.66 - - [01/Apr/2017:07:23:58 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 200 22957
189.195.80.66 - - [01/Apr/2017:07:23:58 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 200 2622
189.195.80.66 - - [01/Apr/2017:07:24:00 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
189.195.80.66 - - [01/Apr/2017:07:24:00 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 200 33933
189.195.80.66 - - [01/Apr/2017:07:24:00 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 200 16994
189.195.80.66 - - [01/Apr/2017:07:24:00 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 200 11482
189.195.80.66 - - [01/Apr/2017:07:24:00 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 200 10199
189.195.80.66 - - [01/Apr/2017:07:24:01 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 200 3510
189.195.80.66 - - [01/Apr/2017:07:24:11 -0600] "GET /Promocion/login.do HTTP/1.1" 302 -
189.195.80.66 - - [01/Apr/2017:07:24:12 -0600] "GET /Promocion/finish.do HTTP/1.1" 200 12084
189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
