187.230.129.161 - - [13/Feb/2017:14:51:47 -0600] "GET /manager/html HTTP/1.1" 401 2473
187.230.129.161 - admin [13/Feb/2017:14:51:49 -0600] "GET /manager/html HTTP/1.1" 200 14468
187.230.129.161 - - [13/Feb/2017:14:51:49 -0600] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
187.230.129.161 - - [13/Feb/2017:14:51:49 -0600] "GET /manager/images/asf-logo.svg HTTP/1.1" 304 -
187.230.129.161 - admin [13/Feb/2017:15:47:24 -0600] "GET /manager/html/list;jsessionid=170716386274BACDB137EEF07B7C6FD7.becartewacom_com_mx?org.apache.catalina.filters.CSRF_NONCE=73A48CF37E427FF7190647A5C90FFA65 HTTP/1.1" 200 12761
187.230.129.161 - admin [13/Feb/2017:15:47:32 -0600] "POST /manager/html/start?path=/Promocion&org.apache.catalina.filters.CSRF_NONCE=849E06150D380A6E49DE151AAE75F234 HTTP/1.1" 200 12840
187.230.129.161 - admin [13/Feb/2017:15:47:44 -0600] "POST /manager/html/start?path=/Promocion&org.apache.catalina.filters.CSRF_NONCE=A55FE8D0E9E58ABFD3A9A94DA79365B7 HTTP/1.1" 200 12840
187.230.129.161 - admin [13/Feb/2017:15:47:52 -0600] "POST /manager/html/undeploy?path=/Promocion&org.apache.catalina.filters.CSRF_NONCE=2BCEE9DFA3D6BF2B1723C43CC23955C9 HTTP/1.1" 200 11641
187.230.129.161 - admin [13/Feb/2017:15:50:19 -0600] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=005F3198CC2CDB651CCD0BC89804D6A7 HTTP/1.1" 200 13312
187.230.129.161 - - [13/Feb/2017:17:21:30 -0600] "GET /Promocion/ HTTP/1.1" 200 217
187.230.129.161 - - [13/Feb/2017:17:21:30 -0600] "GET /Promocion/admin/usuario/index.do HTTP/1.1" 302 -
187.230.129.161 - - [13/Feb/2017:17:21:31 -0600] "GET /Promocion/login.do?denied HTTP/1.1" 200 3649
187.230.129.161 - - [13/Feb/2017:17:21:31 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6437
187.230.129.161 - - [13/Feb/2017:17:21:31 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 200 2625
187.230.129.161 - - [13/Feb/2017:17:21:31 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 200 11482
187.230.129.161 - - [13/Feb/2017:17:21:31 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 200 22957
187.230.129.161 - - [13/Feb/2017:17:21:32 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 200 16994
187.230.129.161 - - [13/Feb/2017:17:21:32 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
187.230.129.161 - - [13/Feb/2017:17:21:32 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 200 2339
187.230.129.161 - - [13/Feb/2017:17:21:32 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 200 33933
187.230.129.161 - - [13/Feb/2017:17:21:32 -0600] "GET /Promocion/resources/css/bootstrap.min.css HTTP/1.1" 200 128317
187.230.129.161 - - [13/Feb/2017:17:21:32 -0600] "GET /Promocion/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
